hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Daybreak/dawn,Central theme representing hope and new beginnings
深水,shēnshuǐ,很深的水,Deep water,Represents danger and death that kills before dawn
月光,yuèguāng,月亮的光线,Moonlight,Illuminates the neck of midsummer night
仲夏,zhòngxià,夏季的中间,Midsummer,Seasonal reference creating atmosphere
脖子,bózi,头和肩膀之间的部分,Neck,Metaphorical body part representing vulnerability
秋天,qiūtiān,秋季,Autumn/Fall,Season of harvest and gathering
收割,shōugē,收获农作物,Harvest/reap,Action of gathering crops
百姓,bǎixìng,普通人民,Common people,The poet's people/community
河流,héliú,流动的水道,River,Natural element representing flow and life
丈夫,zhàngfū,已婚男子的配偶,Husband,Metaphorical reference to the river
亲人,qīnrén,家庭成员或亲近的人,Family member/loved one,Close family relationship
抱玉,bàoyù,抱着玉石,Hold jade,Ancient reference to precious objects
楚国,chǔguó,古代中国的一个国家,State of Chu,Historical reference to ancient Chinese state
双腿,shuāngtuǐ,两条腿,Both legs,Body parts representing mobility
砍断,kǎnduàn,用刀砍断,Chop off/cut off,Violent action representing loss
五月,wǔyuè,第五个月,May,Fifth month reference
***
陶罐,táoguàn,用陶土制成的容器,Pottery jar,Container representing confinement
打底,dǎdǐ,底部或基础,Bottom/base,Foundation or base element
边缘,biānyuán,边界或界限,Edge/border,Boundary or limit
挣脱,zhèngtuō,用力摆脱束缚,Break free/escape,Liberation from constraints
双手,shuāngshǒu,两只手,Both hands,Body parts representing action
飞翔,fēixiáng,在空中飞行,Fly/soar,Freedom and movement
麦穗,màisuì,小麦的穗,Wheat ear,Agricultural symbol
太阳,tàiyáng,太阳星,Sun,Source of light and life
火焰,huǒyàn,燃烧的火苗,Flame/Fire,Element representing passion and destruction
飘忽不定,piāohūbùdìng,摇摆不定的样子,Flickering/unstable,Uncertain movement
面容,miànróng,脸的样子,Face/facial features,Physical appearance
天马,tiānmǎ,天上的马,Celestial horse,Mythical creature representing freedom
***
黄昏,huánghūn,日落时分,Dusk/twilight,Time between day and night
嫁妆,jiàzhuāng,女子出嫁时的财物,Dowry,Marriage gift representing transition
姐妹,jiěmèi,同父母的女性,Sisters,Female siblings
断送,duànsòng,毁掉或失去,Ruin/destroy,End or destruction
夜色,yèsè,夜晚的景色,Night scene,Atmosphere of night
钴,gǔ,一种金属元素,Cobalt,Chemical element
石头,shítou,岩石或石块,Stone/Rock,Solid natural element
白雪,báixuě,白色的雪,White snow,Pure natural element
献出,xiànchū,恭敬地给予,Offer/dedicate,Act of giving
女神,nǚshén,女性的神,Goddess,Divine female figure
韵律,yùnlǜ,诗歌的节奏,Rhythm/Meter,Poetic structure
侍奉,shìfèng,服侍或伺候,Serve/attend,Act of service
流血,liúxuè,血液流出,Bleed,Physical suffering
汕头,shàntóu,中国的一个城市,Shantou city,Geographic reference
伤口,shāngkǒu,受伤的地方,Wound,Physical injury
慰藉,wèijiè,安慰或抚慰,Comfort/consolation,Emotional healing
遗忘,yíwàng,忘记或失去记忆,Forget,Memory loss
伴侣,bànlǚ,一起生活的人,Companion,Life partner
火把,huǒbǎ,用来照明的火,Torch,Source of light
辨认,biànrèn,识别或确认,Recognize/identify,Process of recognition
嘴脸,zuǐliǎn,脸的样子,Face/features,Facial appearance
无可救药,wúkějiùyào,无法挽救的,Incurable/hopeless,Beyond help
肉体,ròutǐ,人的身体,Flesh/body,Physical form
草原,cǎoyuán,长满草的原野,Grassland/steppe,Open natural landscape
帐篷,zhàngpeng,用来居住的篷子,Tent,Shelter structure
编织,biānzhī,用线织成布,Weave/Knit,Textile creation
纺轮,fǎnglún,用来纺线的工具,Spinning wheel,Textile tool
轮轴,lúnzhóu,车轮的中心轴,Axle/Shaft,Mechanical component
屈从,qūcóng,屈服或顺从,Submit/yield,Act of surrender
晚霞,wǎnxiá,傍晚的彩云,Evening glow,Sunset colors
起飞,qǐfēi,飞机开始飞行,Take off,Beginning of flight
秘密,mìmì,不公开的事情,Secret,Hidden knowledge
高空,gāokōng,很高的天空,High altitude,Elevated space
血红,xuèhóng,像血一样的红色,Blood red,Deep red color
月亮,yuèliàng,地球的卫星,Moon,Celestial body
迟至,chízhì,最晚到,As late as,Time reference
诉说,sùshuō,详细地讲述,Tell/narrate,Act of speaking
判,pàn,判决或判定,Sentence/condemn,Legal judgment
家园,jiāyuán,家乡或故乡,Home/homeland,Place of belonging
结伴,jiébàn,一起同行,Travel together,Companionship
青春,qīngchūn,年轻的时候,Youth,Young age
革命,gémìng,社会制度的根本改变,Revolution,Social change
札记,zhájì,读书时做的笔记,Notes/journal,Written records
难民,nànmín,因战争等原因流离失所的人,Refugee,Displaced person
镌刻,juānkè,在硬物上刻字,Engrave/carve,Artistic creation
乞讨,qǐtǎo,向人要钱或食物,Beg,Act of asking for help
木碗,mùwǎn,用木头做的碗,Wooden bowl,Simple container
眼红,yǎnhóng,嫉妒或羡慕,Envious/red-eyed,Emotional state
***
混沌,hùndùn,混乱无序的状态,Chaos/confusion,Disordered state
头颅,tóulú,人的头部,Head/skull,Body part representing mind
运货马车,yùnhuòmǎchē,用来运货的马车,Freight wagon,Transport vehicle
摇摇晃晃,yáoyáohuànghuàng,摇摆不定的样子,Swaying/unsteady,Unstable movement
山冈,shāngāng,小山或丘陵,Hill/mound,Elevated land
马车夫,mǎchēfū,驾驶马车的人,Cart driver,Transport operator
上帝,shàngdì,最高的神,God,Divine being
肮脏,āngzāng,不干净的样子,Dirty/filthy,Unclean state
膝盖,xīgài,大腿和小腿之间的关节,Knee,Body joint
鞭子,biānzi,用来驱赶牲畜的工具,Whip,Control tool
绝望,juéwàng,完全失去希望,Despair/hopelessness,Emotional state
***
打扫,dǎsǎo,清理或清扫,Clean/sweep,Cleaning action
陌不相识,mòbùxiāngshí,不认识的人,Stranger/unknown,Unfamiliar person
寂寞,jìmò,孤单冷清的感觉,Lonely,Emotional isolation
阴沉,yīnchén,天气阴暗的样子,Gloomy/dark,Atmospheric condition
泉水,quánshuǐ,从地下涌出的水,Spring water,Natural water source
白白,báibái,没有效果地,In vain,Without purpose
开放,kāifàng,花朵张开或开放,Open/bloom,Natural process
美丽,měilì,好看的样子,Beautiful,Positive aesthetic quality
负伤,fùshāng,受伤或受伤,Wounded/injured,Physical damage
麦子,màizi,小麦的植株,Wheat,Grain crop
芳香,fāngxiāng,好闻的气味,Fragrant,Aromatic quality
荒凉,huāngliáng,人烟稀少的样子,Desolate/barren,Empty landscape
承受,chéngshòu,接受或承担,Bear/endure,Accepting burden
雷霆,léitíng,打雷的声音,Thunder,Natural phenomenon
圣书,shèngshū,神圣的书籍,Holy book,Sacred text
上卷,shàngjuàn,书的上半部分,Upper volume,First part of book
翅膀,chìbǎng,鸟类用来飞行的器官,Wings,Body parts for flight
明亮,míngliàng,光线充足的样子,Bright/clear,Light quality
阴沉沉,yīnchénchén,天气很阴暗的样子,Gloomy,Atmospheric condition
下卷,xiàjuàn,书的下半部分,Lower volume,Second part of book
欢乐,huānlè,快乐的样子,Joyful/happy,Positive emotion
空空荡荡,kōngkōngdàngdàng,空无一物的样子,Empty/vacant,Devoid of content
合成,héchéng,把不同的东西合在一起,Combine/merge,Unification process
劈开,pīkāi,用刀斧等分开,Split/cleave,Dividing action
肢体,zhītǐ,人的四肢和身体,Limbs/body parts,Physical components
***
手捧,shǒupěng,用手捧着,Hold in hands,Physical action
亲生,qīnshēng,自己生的孩子,Biological/own,Direct relationship
鲜血,xiānxuè,新鲜的血液,Fresh blood,Living blood
杯子,bēizi,用来喝水的器皿,Cup/glass,Container
光明,guāngmíng,光亮的样子,Brightness/light,Illumination
孪生,luánshēng,双胞胎,Twin,Identical siblings
兄弟,xiōngdì,同父母的男性,Brothers,Male siblings
古波斯,gǔbōsī,古代的波斯,Ancient Persia,Historical region
高原,gāoyuán,海拔较高的平地,Plateau/highland,Elevated land
地带,dìdài,一定的区域,Region/zone,Geographic area
神圣,shénshèng,神圣不可侵犯的,Sacred/holy,Divine quality
经典,jīngdiǎn,具有权威性的著作,Classic/canon,Authoritative text
原野,yuányě,没有树木的广阔平地,Plain/wilderness,Open landscape
