hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Рассвет/заря,Центральная тема, представляющая надежду и новые начала
深水,shēnshuǐ,很深的水,Глубокая вода,Представляет опасность и смерть, которая убивает перед рассветом
月光,yuèguāng,月亮的光线,Лунный свет,Освещает шею летней ночи
仲夏,zhòngxià,夏季的中间,Разгар лета,Сезонная ссылка, создающая атмосферу
脖子,bózi,头和肩膀之间的部分,Шея,Метафорическая часть тела, представляющая уязвимость
秋天,qiūtiān,秋季,Осень,Сезон сбора урожая и собирательства
收割,shōugē,收获农作物,Жатва,Действие сбора урожая
百姓,bǎixìng,普通人民,Простой народ,Народ/сообщество поэта
河流,héliú,流动的水道,Река,Природный элемент, представляющий течение и жизнь
丈夫,zhàngfū,已婚男子的配偶,Муж,Метафорическая ссылка на реку
亲人,qīnrén,家庭成员或亲近的人,Член семьи/любимый,Близкие семейные отношения
抱玉,bàoyù,抱着玉石,Обнимать нефрит,Древняя ссылка на драгоценные предметы
楚国,chǔguó,古代中国的一个国家,Государство Чу,Историческая ссылка на древнее китайское государство
双腿,shuāngtuǐ,两条腿,Обе ноги,Части тела, представляющие мобильность
砍断,kǎnduàn,用刀砍断,Отрубить/отрезать,Насильственное действие, представляющее потерю
五月,wǔyuè,第五个月,Май,Ссылка на пятый месяц
***
陶罐,táoguàn,用陶土制成的容器,Глиняный кувшин,Контейнер, представляющий заключение
打底,dǎdǐ,底部或基础,Дно/основание,Элемент фундамента или основы
边缘,biānyuán,边界或界限,Край/граница,Граница или предел
挣脱,zhèngtuō,用力摆脱束缚,Вырваться/сбежать,Освобождение от ограничений
双手,shuāngshǒu,两只手,Обе руки,Части тела, представляющие действие
飞翔,fēixiáng,在空中飞行,Летать/парить,Свобода и движение
麦穗,màisuì,小麦的穗,Колос пшеницы,Сельскохозяйственный символ
太阳,tàiyáng,太阳星,Солнце,Источник света и жизни
火焰,huǒyàn,燃烧的火苗,Пламя/огонь,Элемент, представляющий страсть и разрушение
飘忽不定,piāohūbùdìng,摇摆不定的样子,Мерцающий/нестабильный,Неопределенное движение
面容,miànróng,脸的样子,Лицо/черты лица,Физический облик
天马,tiānmǎ,天上的马,Небесный конь,Мифическое существо, представляющее свободу
***
黄昏,huánghūn,日落时分,Сумерки,Время между днем и ночью
嫁妆,jiàzhuāng,女子出嫁时的财物,Приданое,Свадебный подарок, представляющий переход
姐妹,jiěmèi,同父母的女性,Сестры,Женские сестры
断送,duànsòng,毁掉或失去,Разрушить/уничтожить,Конец или разрушение
夜色,yèsè,夜晚的景色,Ночная сцена,Атмосфера ночи
钴,gǔ,一种金属元素,Кобальт,Химический элемент
石头,shítou,岩石或石块,Камень/скала,Твердый природный элемент
白雪,báixuě,白色的雪,Белый снег,Чистый природный элемент
献出,xiànchū,恭敬地给予,Пожертвовать/посвятить,Акт дарения
女神,nǚshén,女性的神,Богиня,Божественная женская фигура
韵律,yùnlǜ,诗歌的节奏,Ритм/метр,Поэтическая структура
侍奉,shìfèng,服侍或伺候,Служить/помогать,Акт служения
流血,liúxuè,血液流出,Кровоточить,Физические страдания
汕头,shàntóu,中国的一个城市,Город Шаньтоу,Географическая ссылка
伤口,shāngkǒu,受伤的地方,Рана,Физическая травма
慰藉,wèijiè,安慰或抚慰,Утешать,Эмоциональное исцеление
遗忘,yíwàng,忘记或失去记忆,Забыть,Потеря памяти
伴侣,bànlǚ,一起生活的人,Спутник,Спутник жизни
火把,huǒbǎ,用来照明的火,Факел,Источник света
辨认,biànrèn,识别或确认,Узнать/идентифицировать,Процесс узнавания
嘴脸,zuǐliǎn,脸的样子,Лицо/черты,Внешний вид лица
无可救药,wúkějiùyào,无法挽救的,Неизлечимый/безнадежный,Вне помощи
肉体,ròutǐ,人的身体,Плоть/тело,Физическая форма
