hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Madrugada/alvorada,Tema central que representa esperança e novos começos
深水,shēnshuǐ,很深的水,Água profunda,Representa perigo e morte que mata antes da madrugada
月光,yuèguāng,月亮的光线,Luz da lua,Ilumina o pescoço da noite de meio verão
仲夏,zhòngxià,夏季的中间,Meio verão,Referência sazonal que cria atmosfera
脖子,bózi,头和肩膀之间的部分,Pescoço,Parte corporal metafórica que representa vulnerabilidade
秋天,qiūtiān,秋季,Outono,Estação de colheita e coleta
收割,shōugē,收获农作物,Colher,Ação de coletar cultivos
百姓,bǎixìng,普通人民,Povo comum,O povo/comunidade do poeta
河流,héliú,流动的水道,Rio,Elemento natural que representa fluxo e vida
丈夫,zhàngfū,已婚男子的配偶,Marido,Referência metafórica ao rio
亲人,qīnrén,家庭成员或亲近的人,Membro da família/amado,Relação familiar próxima
抱玉,bàoyù,抱着玉石,Abraçar jade,Referência antiga a objetos preciosos
楚国,chǔguó,古代中国的一个国家,Estado de Chu,Referência histórica ao antigo estado chinês
双腿,shuāngtuǐ,两条腿,Ambas as pernas,Partes do corpo que representam mobilidade
砍断,kǎnduàn,用刀砍断,Cortar/amputar,Ação violenta que representa perda
五月,wǔyuè,第五个月,Maio,Referência ao quinto mês
***
陶罐,táoguàn,用陶土制成的容器,Jarro de cerâmica,Contêiner que representa confinamento
打底,dǎdǐ,底部或基础,Fundo/base,Elemento de fundação ou base
边缘,biānyuán,边界或界限,Borda/fronteira,Fronteira ou limite
挣脱,zhèngtuō,用力摆脱束缚,Libertar-se/escapar,Libertação de restrições
双手,shuāngshǒu,两只手,Ambas as mãos,Partes do corpo que representam ação
飞翔,fēixiáng,在空中飞行,Voar/elevar-se,Liberdade e movimento
麦穗,màisuì,小麦的穗,Espiga de trigo,Símbolo agrícola
太阳,tàiyáng,太阳星,Sol,Fonte de luz e vida
火焰,huǒyàn,燃烧的火苗,Chama/fogo,Elemento que representa paixão e destruição
飘忽不定,piāohūbùdìng,摇摆不定的样子,Cintilante/instável,Movimento incerto
面容,miànróng,脸的样子,Rosto/características faciais,Aparência física
