hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,الفجر/الفجر,الموضوع المركزي الذي يمثل الأمل والبدايات الجديدة
深水,shēnshuǐ,很深的水,ماء عميق,يمثل الخطر والموت الذي يقتل قبل الفجر
月光,yuèguāng,月亮的光线,ضوء القمر,يضيء عنق ليلة منتصف الصيف
仲夏,zhòngxià,夏季的中间,منتصف الصيف,مرجع موسمي يخلق الجو
脖子,bózi,头和肩膀之间的部分,الرقبة,جزء جسدي مجازي يمثل الضعف
秋天,qiūtiān,秋季,الخريف,موسم الحصاد والجمع
收割,shōugē,收获农作物,حصاد,فعل جمع المحاصيل
百姓,bǎixìng,普通人民,الشعب العادي,شعب/مجتمع الشاعر
河流,héliú,流动的水道,النهر,عنصر طبيعي يمثل التدفق والحياة
丈夫,zhàngfū,已婚男子的配偶,الزوج,مرجع مجازي للنهر
亲人,qīnrén,家庭成员或亲近的人,عضو العائلة/الحبيب,علاقة عائلية وثيقة
抱玉,bàoyù,抱着玉石,احتضان اليشم,مرجع قديم للأشياء الثمينة
楚国,chǔguó,古代中国的一个国家,دولة تشو,مرجع تاريخي للدولة الصينية القديمة
双腿,shuāngtuǐ,两条腿,كلا الساقين,أجزاء الجسم التي تمثل الحركة
砍断,kǎnduàn,用刀砍断,قطع/بتر,فعل عنيف يمثل الخسارة
五月,wǔyuè,第五个月,مايو,مرجع للشهر الخامس
***
陶罐,táoguàn,用陶土制成的容器,جرة فخارية,حاوية تمثل الحبس
打底,dǎdǐ,底部或基础,القاع/الأساس,عنصر الأساس أو القاعدة
边缘,biānyuán,边界或界限,الحافة/الحدود,الحد أو النهاية
挣脱,zhèngtuō,用力摆脱束缚,التحرر/الهروب,التحرر من القيود
双手,shuāngshǒu,两只手,كلا اليدين,أجزاء الجسم التي تمثل الفعل
飞翔,fēixiáng,在空中飞行,الطيران/التحليق,الحرية والحركة
麦穗,màisuì,小麦的穗,سنبلة القمح,رمز زراعي
太阳,tàiyáng,太阳星,الشمس,مصدر الضوء والحياة
火焰,huǒyàn,燃烧的火苗,اللهب/النار,عنصر يمثل العاطفة والدمار
飘忽不定,piāohūbùdìng,摇摆不定的样子,متذبذب/غير مستقر,حركة غير مؤكدة
面容,miànróng,脸的样子,الوجه/الملامح الوجهية,المظهر الجسدي
天马,tiānmǎ,天上的马,الحصان السماوي,مخلوق أسطوري يمثل الحرية
***
黄昏,huánghūn,日落时分,الغسق/الشفق,الوقت بين النهار والليل
嫁妆,jiàzhuāng,女子出嫁时的财物,المهر,هدية زواج تمثل الانتقال
