hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Αυγή/χαραυγή,Κεντρικό θέμα που αντιπροσωπεύει ελπίδα και νέες αρχές
深水,shēnshuǐ,很深的水,Βαθύ νερό,Αντιπροσωπεύει κίνδυνο και θάνατο που σκοτώνει πριν την αυγή
月光,yuèguāng,月亮的光线,Φεγγαρι,Φωτίζει το λαιμό της καλοκαιρινής νύχτας
仲夏,zhòngxià,夏季的中间,Μέσο καλοκαίρι,Εποχική αναφορά που δημιουργεί ατμόσφαιρα
脖子,bózi,头和肩膀之间的部分,Λαιμός,Μεταφορικό σωματικό μέρος που αντιπροσωπεύει ευπάθεια
秋天,qiūtiān,秋季,Φθινόπωρο,Εποχή συγκομιδής και συλλογής
收割,shōugē,收获农作物,Συγκομιδή,Δράση συλλογής καλλιεργειών
百姓,bǎixìng,普通人民,Απλός λαός,Ο λαός/κοινότητα του ποιητή
河流,héliú,流动的水道,Ποτάμι,Φυσικό στοιχείο που αντιπροσωπεύει ροή και ζωή
丈夫,zhàngfū,已婚男子的配偶,Σύζυγος,Μεταφορική αναφορά στο ποτάμι
亲人,qīnrén,家庭成员或亲近的人,Μέλος οικογένειας/αγαπημένος,Στενή οικογενειακή σχέση
抱玉,bàoyù,抱着玉石,Αγκαλιάζω νεφρίτη,Αρχαία αναφορά σε πολύτιμα αντικείμενα
楚国,chǔguó,古代中国的一个国家,Κράτος Τσου,Ιστορική αναφορά στο αρχαίο κινεζικό κράτος
双腿,shuāngtuǐ,两条腿,Και τα δύο πόδια,Σωματικά μέρη που αντιπροσωπεύουν κινητικότητα
砍断,kǎnduàn,用刀砍断,Κόβω/αποκόπτω,Βίαια δράση που αντιπροσωπεύει απώλεια
五月,wǔyuè,第五个月,Μάιος,Αναφορά στον πέμπτο μήνα
***
陶罐,táoguàn,用陶土制成的容器,Κεραμικό βάζο,Δοχείο που αντιπροσωπεύει φυλάκιση
打底,dǎdǐ,底部或基础,Πάτος/βάση,Στοιχείο θεμελίωσης ή βάσης
边缘,biānyuán,边界或界限,Άκρη/σύνορο,Όριο ή όριο
挣脱,zhèngtuō,用力摆脱束缚,Ελευθερώνομαι/δραπετεύω,Απελευθέρωση από περιορισμούς
双手,shuāngshǒu,两只手,Και τα δύο χέρια,Σωματικά μέρη που αντιπροσωπεύουν δράση
飞翔,fēixiáng,在空中飞行,Πετάω/υψώνομαι,Ελευθερία και κίνηση
麦穗,màisuì,小麦的穗,Στάχυ σιταριού,Γεωργικό σύμβολο
太阳,tàiyáng,太阳星,Ήλιος,Πηγή φωτός και ζωής
火焰,huǒyàn,燃烧的火苗,Φλόγα/φωτιά,Στοιχείο που αντιπροσωπεύει πάθος και καταστροφή
飘忽不定,piāohūbùdìng,摇摆不定的样子,Τρεμοπαίζων/ασταθής,Αβέβαιη κίνηση
面容,miànróng,脸的样子,Πρόσωπο/χαρακτηριστικά προσώπου,Φυσική εμφάνιση
天马,tiānmǎ,天上的马,Ουράνιο άλογο,Μυθικό πλάσμα που αντιπροσωπεύει ελευθερία
***
黄昏,huánghūn,日落时分,Λυκόφως,Χρόνος μεταξύ ημέρας και νύχτας
嫁妆,jiàzhuāng,女子出嫁时的财物,Προίκα,Γαμήλιο δώρο που αντιπροσωπεύει μετάβαση
姐妹,jiěmèi,同父母的女性,Αδελφές,Γυναικείες αδελφές
断送,duànsòng,毁掉或失去,Καταστρέφω/καταστρέφω,Τέλος ή καταστροφή
夜色,yèsè,夜晚的景色,Νυχτερινή σκηνή,Ατμόσφαιρα της νύχτας
钴,gǔ,一种金属元素,Κοβάλτιο,Χημικό στοιχείο
石头,shítou,岩石或石块,Πέτρα/βράχος,Στερεό φυσικό στοιχείο
白雪,báixuě,白色的雪,Λευκό χιόνι,Καθαρό φυσικό στοιχείο
献出,xiànchū,恭敬地给予,Προσφέρω/αφιερώνω,Πράξη δωρεάς
女神,nǚshén,女性的神,Θεά,Θεία γυναικεία φιγούρα
韵律,yùnlǜ,诗歌的节奏,Ρυθμός/μέτρο,Ποιητική δομή
侍奉,shìfèng,服侍或伺候,Υπηρετώ/βοηθώ,Πράξη υπηρεσίας
流血,liúxuè,血液流出,Αιμορραγώ,Σωματικό μαρτύριο
汕头,shàntóu,中国的一个城市,Πόλη Σαντόου,Γεωγραφική αναφορά
伤口,shāngkǒu,受伤的地方,Πληγή,Σωματικό τραύμα
慰藉,wèijiè,安慰或抚慰,Παρακαλώ,Συναισθηματική θεραπεία
遗忘,yíwàng,忘记或失去记忆,Ξεχνώ,Απώλεια μνήμης
伴侣,bànlǚ,一起生活的人,Σύντροφος,Σύντροφος ζωής
火把,huǒbǎ,用来照明的火,Πυρσός,Πηγή φωτός
辨认,biànrèn,识别或确认,Αναγνωρίζω/ταυτοποιώ,Διαδικασία αναγνώρισης
嘴脸,zuǐliǎn,脸的样子,Πρόσωπο/χαρακτηριστικά,Εμφάνιση προσώπου
无可救药,wúkějiùyào,无法挽救的,Ανίατος/απελπισμένος,Πέρα από τη βοήθεια
肉体,ròutǐ,人的身体,Σάρκα/σώμα,Φυσική μορφή
草原,cǎoyuán,长满草的原野,Λιβάδι/στέπα,Ανοιχτό φυσικό τοπίο
帐篷,zhàngpeng,用来居住的篷子,Σκηνή,Δομή καταφυγής
