hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,भोर/सुबह का समय,आशा और नई शुरुआत का प्रतिनिधित्व करने वाला केंद्रीय विषय
深水,shēnshuǐ,很深的水,गहरा पानी,खतरे और मृत्यु का प्रतिनिधित्व करता है जो भोर से पहले मारता है
月光,yuèguāng,月亮的光线,चांदनी,गर्मी की रात की गर्दन को रोशन करती है
仲夏,zhòngxià,夏季的中间,गर्मी का मध्य,वातावरण बनाने वाला मौसमी संदर्भ
脖子,bózi,头和肩膀之间的部分,गर्दन,कमजोरी का प्रतिनिधित्व करने वाला रूपक शारीरिक अंग
秋天,qiūtiān,秋季,पतझड़,फसल और संग्रह का मौसम
收割,shōugē,收获农作物,फसल काटना,फसलों को इकट्ठा करने की क्रिया
百姓,bǎixìng,普通人民,आम लोग,कवि के लोग/समुदाय
河流,héliú,流动的水道,नदी,प्रवाह और जीवन का प्रतिनिधित्व करने वाला प्राकृतिक तत्व
丈夫,zhàngfū,已婚男子的配偶,पति,नदी का रूपक संदर्भ
亲人,qīnrén,家庭成员或亲近的人,परिवार का सदस्य/प्रियजन,निकट पारिवारिक संबंध
抱玉,bàoyù,抱着玉石,जेड को गले लगाना,मूल्यवान वस्तुओं का प्राचीन संदर्भ
楚国,chǔguó,古代中国的一个国家,चू राज्य,प्राचीन चीनी राज्य का ऐतिहासिक संदर्भ
双腿,shuāngtuǐ,两条腿,दोनों पैर,गतिशीलता का प्रतिनिधित्व करने वाले शारीरिक अंग
砍断,kǎnduàn,用刀砍断,काटना/काट देना,हानि का प्रतिनिधित्व करने वाली हिंसक क्रिया
五月,wǔyuè,第五个月,मई,पांचवें महीने का संदर्भ
***
陶罐,táoguàn,用陶土制成的容器,मिट्टी का बर्तन,कैद का प्रतिनिधित्व करने वाला कंटेनर
打底,dǎdǐ,底部或基础,तल/आधार,नींव या आधार तत्व
边缘,biānyuán,边界或界限,किनारा/सीमा,सीमा या सीमा
挣脱,zhèngtuō,用力摆脱束缚,मुक्त होना/भागना,बाधाओं से मुक्ति
双手,shuāngshǒu,两只手,दोनों हाथ,क्रिया का प्रतिनिधित्व करने वाले शारीरिक अंग
飞翔,fēixiáng,在空中飞行,उड़ना/ऊपर उठना,स्वतंत्रता और गति
麦穗,màisuì,小麦的穗,गेहूं की बाली,कृषि प्रतीक
太阳,tàiyáng,太阳星,सूरज,प्रकाश और जीवन का स्रोत
火焰,huǒyàn,燃烧的火苗,लौ/आग,जुनून और विनाश का प्रतिनिधित्व करने वाला तत्व
飘忽不定,piāohūbùdìng,摇摆不定的样子,फड़फड़ाना/अस्थिर,अनिश्चित गति
面容,miànróng,脸的样子,चेहरा/चेहरे की विशेषताएं,शारीरिक उपस्थिति
天马,tiānmǎ,天上的马,आकाशीय घोड़ा,स्वतंत्रता का प्रतिनिधित्व करने वाला पौराणिक प्राणी
***
黄昏,huánghūn,日落时分,सांझ/गोधूलि,दिन और रात के बीच का समय
嫁妆,jiàzhuāng,女子出嫁时的财物,दहेज,संक्रमण का प्रतिनिधित्व करने वाला विवाह उपहार
姐妹,jiěmèi,同父母的女性,बहनें,महिला भाई-बहन
断送,duànsòng,毁掉或失去,बर्बाद करना/नष्ट करना,अंत या विनाश
夜色,yèsè,夜晚的景色,रात का दृश्य,रात का वातावरण
钴,gǔ,一种金属元素,कोबाल्ट,रासायनिक तत्व
石头,shítou,岩石或石块,पत्थर/चट्टान,ठोस प्राकृतिक तत्व
白雪,báixuě,白色的雪,सफेद बर्फ,शुद्ध प्राकृतिक तत्व
献出,xiànchū,恭敬地给予,समर्पित करना/अर्पित करना,देने की क्रिया
女神,nǚshén,女性的神,देवी,दिव्य महिला पात्र
韵律,yùnlǜ,诗歌的节奏,ताल/मीटर,काव्यात्मक संरचना
侍奉,shìfèng,服侍或伺候,सेवा करना/सहायता करना,सेवा की क्रिया
流血,liúxuè,血液流出,खून बहना,शारीरिक पीड़ा
汕头,shàntóu,中国的一个城市,शान्तौ शहर,भौगोलिक संदर्भ
伤口,shāngkǒu,受伤的地方,घाव,शारीरिक चोट
慰藉,wèijiè,安慰或抚慰,सांत्वना देना,भावनात्मक उपचार
遗忘,yíwàng,忘记或失去记忆,भूलना,स्मृति का नुकसान
伴侣,bànlǚ,一起生活的人,साथी,जीवन साथी
火把,huǒbǎ,用来照明的火,मशाल,प्रकाश का स्रोत
辨认,biànrèn,识别或确认,पहचानना/पहचान करना,पहचान की प्रक्रिया
嘴脸,zuǐliǎn,脸的样子,चेहरा/विशेषताएं,चेहरे की उपस्थिति
无可救药,wúkějiùyào,无法挽救的,असाध्य/निराशाजनक,मदद से परे
肉体,ròutǐ,人的身体,मांस/शरीर,शारीरिक रूप
草原,cǎoyuán,长满草的原野,घास का मैदान/स्टेप,खुला प्राकृतिक दृश्य
帐篷,zhàngpeng,用来居住的篷子,तंबू,आश्रय संरचना
编织,biānzhī,用线织成布,बुनना/कताई करना,टेक्सटाइल निर्माण
纺轮,fǎnglún,用来纺线的工具,कताई चक्र,टेक्सटाइल उपकरण
轮轴,lúnzhóu,车轮的中心轴,धुरी/शाफ्ट,यांत्रिक घटक
屈从,qūcóng,屈服或顺从,आत्मसमर्पण करना/झुकना,आत्मसमर्पण की क्रिया
晚霞,wǎnxiá,傍晚的彩云,सांझ की लाली,सूर्यास्त के रंग
起飞,qǐfēi,飞机开始飞行,उड़ान भरना,उड़ान की शुरुआत
秘密,mìmì,不公开的事情,रहस्य,छुपा ज्ञान
高空,gāokōng,很高的天空,उच्च ऊंचाई,ऊंचा स्थान
血红,xuèhóng,像血一样的红色,खूनी लाल,गहरा लाल रंग
月亮,yuèliàng,地球的卫星,चंद्रमा,आकाशीय पिंड
迟至,chízhì,最晚到,सबसे देर से,समय संदर्भ
诉说,sùshuō,详细地讲述,बताना/वर्णन करना,बोलने की क्रिया
判,pàn,判决或判定,सजा देना/दोषी ठहराना,कानूनी निर्णय
家园,jiāyuán,家乡或故乡,घर/मातृभूमि,संबंधित स्थान
结伴,jiébàn,一起同行,एक साथ यात्रा करना,साथीपन
青春,qīngchūn,年轻的时候,युवावस्था,युवा आयु
革命,gémìng,社会制度的根本改变,क्रांति,सामाजिक परिवर्तन
札记,zhájì,读书时做的笔记,नोट्स/डायरी,लिखित रिकॉर्ड
难民,nànmín,因战争等原因流离失所的人,शरणार्थी,विस्थापित व्यक्ति
镌刻,juānkè,在硬物上刻字,उत्कीर्ण करना/तराशना,कलात्मक निर्माण
乞讨,qǐtǎo,向人要钱或食物,भीख मांगना,मदद मांगने की क्रिया
木碗,mùwǎn,用木头做的碗,लकड़ी का कटोरा,सरल कंटेनर
眼红,yǎnhóng,嫉妒或羡慕,ईर्ष्यालु/लाल आंखें,भावनात्मक स्थिति
***
混沌,hùndùn,混乱无序的状态,अराजकता/भ्रम,अव्यवस्थित स्थिति
头颅,tóulú,人的头部,सिर/खोपड़ी,मन का प्रतिनिधित्व करने वाला शारीरिक अंग
运货马车,yùnhuòmǎchē,用来运货的马车,माल गाड़ी,परिवहन वाहन
摇摇晃晃,yáoyáohuànghuàng,摇摆不定的样子,डगमगाना/अस्थिर,अस्थिर गति
山冈,shāngāng,小山或丘陵,पहाड़ी/छोटा पहाड़,ऊंची भूमि
马车夫,mǎchēfū,驾驶马车的人,गाड़ीवान,परिवहन संचालक
上帝,shàngdì,最高的神,भगवान,दिव्य प्राणी
肮脏,āngzāng,不干净的样子,गंदा/अशुद्ध,अशुद्ध स्थिति
膝盖,xīgài,大腿和小腿之间的关节,घुटना,शारीरिक जोड़
鞭子,biānzi,用来驱赶牲畜的工具,चाबुक,नियंत्रण उपकरण
绝望,juéwàng,完全失去希望,निराशा/आशाहीनता,भावनात्मक स्थिति
***
打扫,dǎsǎo,清理或清扫,सफाई करना/झाड़ना,सफाई की क्रिया
陌不相识,mòbùxiāngshí,不认识的人,अजनबी/अज्ञात,अपरिचित व्यक्ति
寂寞,jìmò,孤单冷清的感觉,अकेला,भावनात्मक अलगाव
阴沉,yīnchén,天气阴暗的样子,उदास/अंधेरा,वायुमंडलीय स्थिति
泉水,quánshuǐ,从地下涌出的水,झरने का पानी,प्राकृतिक जल स्रोत
